ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossFloorArea,UnitOfMeasurement,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000133126,No,Marc and Sharon Hagle Hall,1091 3rd Street,West Lafayette,IN,47906,US,LEED v4 BD+C: NC,61,Gold,01/05/2024 00:00,Yes,"Educational: University, Public",36040,Sq ft,0,Core Learning Space: College/University,Purdue University-Main Campus,15/07/2020 00:00
1000133206,No,Nancy J. Cotterman Center,2995 North Dixie Highway,Fort Lauderdale,FL,33334,US,LEED-NC v2009,66,Gold,10/04/2024 00:00,Yes,"Government Use: Local, County",27007,Sq ft,0,Lodging: Dormitory,Broward County Commission,19/07/2020 00:00
1000133308,No,Albion in the Gulch,645 Division Street,Nashville,TN,37203,US,LEED v4 BD+C: NC,52,Silver,03/04/2024 00:00,Yes,Corporate: Privately Held,496000,Sq ft,0,Multi-Family Residential: Apartment,Albion Residential,21/07/2020 00:00
1000133391,No,Signature Des Moines FBO Terminal/Hangar,SW 28th Street,Des Moines,IA,50313,US,LEED v4 BD+C: NC,40,Certified,16/08/2024 00:00,Yes,Corporate: Publicly Traded,38383,Sq ft,0,Airport: Terminal/Concourse,Signature Flight Support Corporation,26/07/2020 00:00
1000133434,No,Merck Elkton B25 Document Resources,2778 S. Eastside Highway,Elkton,VA,22827,US,LEED v4 BD+C: NC,64,Gold,07/02/2024 00:00,Yes,,9900,Sq ft,0,Office: Other Office, ,29/07/2020 00:00
1000133531,No,Dzilth-Na-O-Dith-Hle Dormitory,35 Road 7585 #5003,Bloomfield,NM,87413,US,LEED v4 BD+C: NC,65,Gold,22/01/2024 00:00,Yes,"Educational: K-12 School, Private",14409,Sq ft,0,Lodging: Dormitory,Dzilth-Na-O-Dith-Hle Community School,03/08/2020 00:00
1000133540,No,Meridian on New Jersey Avenue,1000 New Jersey Avenue SE,Washington,DC,20001,US,LEED v4 BD+C: NC,47,Certified,17/05/2024 00:00,Yes,Corporate: Privately Held,297113,Sq ft,0,Multi-Family Residential: Apartment,Paradigm Development Company,03/08/2020 00:00
1000133544,No,555 Penn,555 Pennsylvania Avenue NW,Washington,DC,20001,US,LEED v4 BD+C: NC,64,Gold,11/04/2024 00:00,Yes,"Educational: University, Private",432000,Sq ft,0,Core Learning Space: College/University,Johns Hopkins University,04/08/2020 00:00
1000133563,Yes,Confidential,Confidential,Confidential,Madrid,Confidential,ES,LEED v4 BD+C: NC,62,Gold,12/11/2024 00:00,Yes,Confidential,1388,Sq m,0,Confidential,Confidential,05/08/2020 00:00
1000133578,No,New England Biolabs GE,240 County Rd,Ipswich,MA,01938,US,LEED v4 BD+C: NC,43,Certified,19/08/2024 00:00,Yes,Corporate: Privately Held,115607,Sq ft,0,Laboratory,"New England Biolabs, Inc.",05/08/2020 00:00
1000133724,No,Guangdong Huaxing Bank Guangzhou Branch,"No. 3, Jinshuo 1st Road, Tianhe District",Guangzhou,Guangdong,510655,CN,LEED v4 BD+C: NC,61,Gold,22/08/2024 00:00,Yes,Investor: Bank,57616,Sq m,0,Office: Financial,Guangdong Huaxing Bank,07/08/2020 00:00
1000133757,No,Chabot Library & Learning Connection,25555 Hesperian Blvd,Hayward,CA,94545,US,LEED v4 BD+C: NC,60,Gold,17/12/2024 00:00,Yes,,62455,Sq ft,0,Core Learning Space: College/University, ,11/08/2020 00:00
1000133767,No,FARMACIA 12,Farmacia 12,Madrid,Madrid,28004,ES,LEED v4 BD+C: NC,63,Gold,09/12/2024 00:00,Yes,"Investor: REIT,Non-traded",1444,Sq m,0,Multi-Family Residential: Apartment,"BEUSTE Investment, S.L.",11/08/2020 00:00
1000133807,No,USU Moab Academic Building,1870 South Aggie Blvd,Moab,UT,84532,US,LEED v4 BD+C: NC,56,Silver,24/01/2024 00:00,Yes,"Educational: College, Public",22657,Sq ft,0,Core Learning Space: College/University,Utah State University,13/08/2020 00:00
1000133851,No,The Grant,Grant St. and Concord Blvd.,Concord,CA,94520,US,LEED v4 BD+C: NC,50,Silver,10/07/2024 00:00,Yes,Corporate: Privately Held,188922,Sq ft,0,Multi-Family Residential: Apartment,Hines,17/08/2020 00:00
1000133893,No,Capitol Rose - 1732 15th Street NW,1732 15th Street NW,Washington,DC,20009,US,LEED v4 BD+C: NC,60,Gold,05/09/2024 00:00,Yes,Corporate: Privately Held,147440,Sq ft,0,Multi-Family Residential: Apartment,"Perseus Realty, LLC",18/08/2020 00:00
1000134053,No,Palazzo Comunale di Ovindoli,"Via Dante Alighieri, 12",Ovindoli,AQ,67046,IT,LEED v4 BD+C: NC,61,Gold,31/07/2024 00:00,Yes,"Government Use: Local, City",760,Sq m,0,Office: Government,Comune di Ovindoli,24/08/2020 00:00
1000134167,No,Batiment administratif MRC 142 Dufferin,"142 Dufferin, suite 100",Granby,QC,J2G 4X1,CA,LEED v4 BD+C: NC,64,Gold,20/03/2024 00:00,Yes,"Government Use: Local, City",2762,Sq m,0,Office: Government,MRC de La Haute-Yamaska,31/08/2020 00:00
1000134194,No,UCSF Bayfront Medical Building,520 Illinois St,San Francisco,CA,94158,US,LEED v4 BD+C: NC,65,Gold,11/12/2024 00:00,Yes,"Educational: University, Public",185900,Sq ft,0,Healthcare: Clinic/Other Outpatient,UCSF,28/08/2020 00:00
1000134207,No,UNLV Medical Education Building,625 Shadow Lane,Las Vegas,NV,89106,US,LEED v4 BD+C: NC,55,Silver,10/05/2024 00:00,Yes,Corporate: Privately Held,129000,Sq ft,0,Core Learning Space: College/University,Nevada Health & Bioscience Asset Corpora,31/08/2020 00:00
1000134217,Yes,Confidential,Confidential,Confidential,LA,Confidential,US,LEED v4 BD+C: NC,61,Gold,09/09/2024 00:00,Yes,Confidential,63256,Sq ft,0,Confidential,Confidential,31/08/2020 00:00
1000134223,No,WWCC Applied Technology Building,32000 Campus Drive,Salisbury,MD,21804,US,LEED v4.1 BD+C: NC,50,Silver,30/04/2024 00:00,Yes,"Educational: Community College, Pub",49525,Sq ft,0,Core Learning Space: College/University,Wor-Wic Community College,31/08/2020 00:00
1000134257,No,Memorial Cancer Institute,12235 Pines BLVD,Pembroke Pines,FL,33026,US,LEED v4 BD+C: NC,42,Certified,18/11/2024 00:00,Yes,Non-Profit (that do not fit into ot,114000,Sq ft,0,Healthcare: Clinic/Other Outpatient,Memorial Healthcare System,01/09/2020 00:00
1000134580,No,250 Brannan,250 Brannan Street,San Francisco,CA,94107,US,LEED v4.1 O+M: EB,66,Gold,31/07/2024 00:00,Yes,Corporate: Publicly Traded,100850,Sq ft,0,Office: Administrative/Professional,Kilroy Realty Corporation,10/09/2020 00:00
1000135296,No,USCG AIR STA VENTURA ADMIN/BERTHING,3rd Street,Point Mugu Naval Air Station,CA,93041,US,LEED v4 BD+C: NC,50,Silver,10/12/2024 00:00,Yes,Government Use: Federal,12216,Sq ft,0,Airport: Office,United States Coast Guard,15/09/2020 00:00
1000135406,No,Asheville Public Safety Station,316 Broadway Street,Asheville,NC,28801,US,LEED v4 BD+C: NC,64,Gold,07/05/2024 00:00,Yes,"Government Use: Local, City",21831,Sq ft,0,Public Order and Safety: Fire/Police Station,City of Asheville,16/09/2020 00:00
1000135819,No,Market Terminal D,360 Morse Street NE,Washington,DC,20002,US,LEED v4 BD+C: NC,51,Silver,08/03/2024 00:00,Yes,Corporate: Privately Held,161134,Sq ft,0,Multi-Family Residential: Apartment,Carmel Partners,18/09/2020 00:00
1000135850,No,Ohio State University Lacrosse Stadium,630 Irving Schottenstein Drive,Columbus,OH,43210,US,LEED v4 BD+C: NC,40,Certified,06/08/2024 00:00,Yes,"Educational: University, Public",15599,Sq ft,0,Public Assembly: Stadium/Arena,Ohio State University-Main Campus,18/09/2020 00:00
1000136120,No,Cascade Learning Resource Center,1001 N Broadway,Everett,WA,98201,US,LEED v4 BD+C: NC,53,Silver,25/01/2024 00:00,Yes,Government Use: State,65551,Sq ft,0,Core Learning Space: College/University,Everett Community College,25/09/2020 00:00
1000136570,No,LIGO Exploration Center,127124 N RT. 10,Richland,WA,99352,US,LEED v4 BD+C: NC,50,Silver,17/01/2024 00:00,Yes,"Educational: College, Private",14052,Sq ft,0,Public Assembly: Museum,California Institute Of Technology,28/09/2020 00:00
1000136602,No,DCMC North - MOB,9010 North Lake Creek Parkway,Austin,TX,78717,US,LEED v4 BD+C: NC,51,Silver,03/01/2024 00:00,Yes,,60000,Sq ft,0,Healthcare: Outpatient Office (Diagnostic), ,29/09/2020 00:00
1000136633,No,Avalon Brighton,139 Washington St,Brighton,MA,02135,US,LEED v4 BD+C: NC,61,Gold,26/07/2024 00:00,Yes,"Investor: REIT, Publicly traded",190000,Sq ft,0,Multi-Family Residential: Lowrise,"AvalonBay Communities, Inc.",01/10/2020 00:00
1000136717,No,Cleveland Public Library - Hough Branch,Southwest Corner of East 66th Street and,Cleveland,OH,44103,US,LEED v4 BD+C: NC,52,Silver,16/08/2024 00:00,Yes,"Government Use: Other (utility, air",8000,Sq ft,0,Public Assembly: Library,Cleveland Public Library,07/10/2020 00:00
1000136737,No,"U of Arizona, Chemistry Building",1306 E University Blvd,Tucson,AZ,85719,US,LEED v4 BD+C: NC,54,Silver,21/02/2024 00:00,Yes,"Educational: University, Public",89458,Sq ft,0,Core Learning Space: College/University,University of Arizona,08/10/2020 00:00
1000136780,No,VISTA,4125 Monument Corner Drive,Fairfax,VA,22030,US,LEED v4 BD+C: NC,48,Certified,27/02/2024 00:00,Yes,Corporate: Privately Held,238527,Sq ft,0,Multi-Family Residential: Apartment,The Peterson Companies,09/10/2020 00:00
1000136936,No,Paul Hall,6823 St. Charles Avenue,New Orleans,LA,70118,US,LEED v4 BD+C: NC,63,Gold,09/10/2024 00:00,Yes,"Educational: University, Private",69200,Sq ft,0,Core Learning Space: College/University,Tulane University,16/10/2020 00:00
1000137014,No,NPAA Chattanooga,Lot 1 of Harriet Tubman Subdivision,Chattanooga,TN,37406,US,LEED v4.1 BD+C: NC,43,Certified,11/03/2025 00:00,Yes,Corporate: Privately Held,52465,Sq ft,0,Industrial Manufacturing,"Nippon Paint Automotive Americas, Inc.",20/10/2020 00:00
1000137042,No,Reuben Hoar Public Library,35 Shattuck Street,Littleton,MA,01460,US,LEED v4 BD+C: NC,41,Certified,29/10/2024 00:00,Yes,"Government Use: Local, City",23448,Sq ft,0,Public Assembly: Library,"Town of Littleton, Massachusetts",20/10/2020 00:00
1000137080,No,Rice University Hanszen College,6350 Main St.,Houston,TX,77005,US,LEED v4 BD+C: NC,61,Gold,30/05/2024 00:00,Yes,"Educational: College, Private",55930,Sq ft,0,Lodging: Dormitory,Rice University,22/10/2020 00:00
1000137090,No,citizenM Hotel Boston Back Bay,408 Newbury St,Boston,MA,02115,US,LEED v4 BD+C: NC,63,Gold,23/12/2024 00:00,Yes,,151700,Sq ft,0,"Lodging: Hotel/Motel/Resort, Full Service", ,22/10/2020 00:00
1000137173,No,WSSB Life Skills Training Center,2120 E 13th St,Vancouver,WA,98661,US,LEED v4.1 BD+C: NC,68,Gold,29/04/2024 00:00,Yes,Government Use: State,11569,Sq ft,0,Lodging: Other lodging,Washington Dept. of Enterprise Services,27/10/2020 00:00
1000137231,No,Fort Collins East Park Maint. Facility,3500 Environmental Drive,Fort Collins,CO,80525,US,LEED v4.1 BD+C: NC,64,Gold,26/02/2024 00:00,Yes,"Government Use: Local, City",6500,Sq ft,0,Other,City of Fort Collins,29/10/2020 00:00
1000137271,No,COSD Youth Transition Campus - Housing,2840 Meadow Lark Drive,San Diego,CA,92123,US,LEED v4 BD+C: NC,67,Gold,05/02/2024 00:00,Yes,,10800,Sq ft,0,Public Order and Safety: Other Public Order, ,30/10/2020 00:00
1000137293,No,Catholic Univ - Conway School of Nursing,620 Michigan Avenue NE,Washington,DC,20064,US,LEED v4 BD+C: NC,61,Gold,19/09/2024 00:00,Yes,"Educational: College, Private",101500,Sq ft,0,Core Learning Space: College/University,catholic university of america,02/11/2020 00:00
1000137597,No,"Student Accomodation, via Serlio",via Serlio,Bologna,BO,40128,IT,LEED v4 BD+C: NC,67,Gold,16/08/2024 00:00,Yes,Corporate: Privately Held,17740,Sq m,0,Lodging: Dormitory,Stonehill International Group,10/11/2020 00:00
1000137664,No,St. Thomas Schoenecker Center,2115 Summit Avenue,Saint Paul,MN,55105,US,LEED v4 BD+C: NC,63,Gold,02/08/2024 00:00,Yes,"Educational: College, Private",130113,Sq ft,0,Core Learning Space: College/University,University of Saint Thomas,12/11/2020 00:00
1000137691,No,USM McGoldrick Center,35 Bedford Street,Portland,ME,04101,US,LEED v4 BD+C: NC,64,Gold,29/05/2024 00:00,Yes,"Educational: College, Public",41100,Sq ft,0,Office: Administrative/Professional,University of Southern Maine,13/11/2020 00:00
1000137827,No,First Security Bank Bozeman,2046 Cattail Street,Bozeman,MT,59718,US,LEED v4 BD+C: NC,61,Gold,23/01/2024 00:00,Yes,Investor: Bank,11356,Sq ft,0,Office: Financial,First Security Bank,17/11/2020 00:00
1000137891,Yes,Confidential,Confidential,Confidential,RM,Confidential,IT,LEED v4 BD+C: NC,60,Gold,26/11/2024 00:00,Yes,Confidential,2884,Sq m,0,Confidential,Confidential,18/11/2020 00:00
1000137948,No,Drosdick Hall,Center for Engineering Education and Res,Villanova,PA,19085,US,LEED v4 BD+C: NC,52,Silver,16/09/2024 00:00,Yes,"Educational: College, Private",157130,Sq ft,0,Laboratory,Villanova University,18/11/2020 00:00
1000137966,No,Emergency Operations Center,2101 NASA Parkway,Houston,TX,77058-3696,US,LEED v4 BD+C: NC,53,Silver,19/11/2024 00:00,Yes,Government Use: Federal,16446,Sq ft,0,Office: Government,NASA Johnson Space Center,20/11/2020 00:00
1000137971,No,MIT W51 Burton-Conner,MIT Building W51 Burton-Conner,Cambridge,MA,02139,US,LEED v4 BD+C: NC,60,Gold,25/06/2024 00:00,Yes,"Educational: College, Private",162579,Sq ft,0,Core Learning Space: College/University,Massachusetts Institute of Technology,19/11/2020 00:00
1000138066,No,CAMPUS ARRUPE,Calle Mateo Inurria 37,Madrid,Madrid,28036,ES,LEED v4 BD+C: NC,66,Gold,18/02/2025 00:00,Yes,"Educational: University, Private",5480,Sq m,0,Core Learning Space: College/University,COMPANIA DE JESUS PROVINCIA DE ESPANA,24/11/2020 00:00
1000138238,No,Intuit Dome,S Prairie Ave & W Century Blvd,Inglewood,CA,90303,US,LEED v4 BD+C: NC,92,Platinum,12/07/2024 00:00,Yes,,1179653,Sq ft,0,Public Assembly: Recreation, ,30/11/2020 00:00
1000138271,Yes,Confidential,Confidential,Confidential,TO,Confidential,IT,LEED v4 BD+C: NC,86,Platinum,31/01/2024 00:00,Yes,Confidential,10894,Sq m,0,Confidential,Confidential,01/12/2020 00:00
1000138362,No,EPEC Operations & Safety Training Center,13511-B TC,El Paso,TX,79938,US,LEED v4 BD+C: NC,45,Certified,23/04/2024 00:00,Yes,Corporate: Publicly Traded,13615,Sq ft,0,Core Learning Space: Other classroom education,El Paso Electric,02/12/2020 00:00
1000138377,No,Lakeshore - 18111 Von Karman,18111 Von Karman Ave.,Irvine,CA,92612,US,LEED v4 O+M: EB,69,Gold,06/09/2024 00:00,Yes,Corporate: Privately Held,247504,Sq ft,0,Office: Administrative/Professional,"SENTRE Partners, Inc.",04/12/2020 00:00
1000138378,No,UO HWTP Building B&C,1410 Agate Street,Eugene,OR,97401,US,LEED v4 BD+C: NC,60,Gold,27/02/2024 00:00,Yes,"Educational: University, Public",281647,Sq ft,0,Lodging: Dormitory,University of Oregon,04/12/2020 00:00
1000138407,No,Lakeshore - 18101 Von Karman,18101 Von Karman Ave.,Irvine,CA,92612,US,LEED v4 O+M: EB,61,Gold,06/09/2024 00:00,Yes,Corporate: Privately Held,424108,Sq ft,0,Office: Administrative/Professional,"SENTRE Partners, Inc.",04/12/2020 00:00
1000138421,No,Lakeshore - 18191 Von Karman,18191 Von Karman Ave.,Irvine,CA,92612,US,LEED v4 O+M: EB,61,Gold,06/09/2024 00:00,Yes,Corporate: Privately Held,139700,Sq ft,0,Office: Administrative/Professional,"SENTRE Partners, Inc.",04/12/2020 00:00
1000138455,Yes,Confidential,Confidential,Confidential,NY,Confidential,US,LEED v4 BD+C: NC,52,Silver,07/02/2024 00:00,Yes,Confidential,75000,Sq ft,0,Confidential,Confidential,08/12/2020 00:00
1000138714,No,Mill River Whittingham Discovery Center,Mill River Park,"Stamford, CT",CT,06901,US,LEED v4 BD+C: NC,82,Platinum,30/10/2024 00:00,Yes,Community Development Corporation o,7889,Sq ft,0,Other,"Mill River Park Collaborative, Inc.",09/12/2020 00:00
1000138941,No,Fort Lupton Readiness Center Motor Pool,2930 9th Street,Fort Lupton,CO,80621,US,LEED v4 BD+C: NC,45,Certified,13/08/2024 00:00,Yes,Government Use: State,20000,Sq ft,0,Office: Government,Department of Military and Veteran Affai,16/12/2020 00:00
1000138955,No,VDMA Ft. Barfoot 561 JFHQ Conversion,Building 561 Fort Pickett,Blackstone,VA,23824,US,LEED v4 BD+C: NC,50,Silver,05/12/2024 00:00,Yes,Government Use: State,30240,Sq ft,0,Office: Government,Virginia Department of Military Affairs,17/12/2020 00:00
1000138985,No,LLNL B321-G - Manufacturing Building,7000 East Ave.,Livermore,CA,94551,US,LEED v4 BD+C: NC,40,Certified,08/04/2024 00:00,Yes,Government Use: Federal,11257,Sq ft,0,Laboratory,Lawrence Livermore National Laboratory,18/12/2020 00:00
1000138995,No,LLNL B310 - New NDE Building,7000 East Ave.,Livermore,CA,94551,US,LEED v4 BD+C: NC,41,Certified,06/05/2024 00:00,Yes,Government Use: Federal,12122,Sq ft,0,Laboratory,Lawrence Livermore National Laboratory,18/12/2020 00:00
1000139011,No,HERE Pittsburgh,3506 Forbes Ave,Pittsburgh,PA,15213,US,LEED v4 BD+C: NC,43,Certified,04/10/2024 00:00,Yes,Corporate: Privately Held,403557,Sq ft,0,Multi-Family Residential: Apartment,"DRI/CA Pittsburgh, LLC",18/12/2020 00:00
1000139014,No,Joint Forces Headquarters - BNGC,100 Minuteman Parkway,Frankfort,KY,40601,US,LEED v4 BD+C: NC,60,Gold,23/12/2024 00:00,Yes,Government Use: State,63784,Sq ft,0,Office: Government,Commonwealth of Kentucky,21/12/2020 00:00
