Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000187589,US,MA,MED,"Office: Administrative/Professional",Silver,58,15211.47,342258,150594,"2024-10-28 00:00:00"
1000187604,BR,SP,SP,"Office: Administrative/Professional",Gold,69,4936,185100,24063,"2024-09-03 00:00:00"
1000187633,AE,AE,DUB,"Office: Administrative/Professional",Platinum,92,17555.6,921669,368668,"2024-10-01 00:00:00"
1000187664,CN,SHA,SHA,"Office: Mixed-Use",Platinum,84,35647,1871467,1048022,"2024-04-25 00:00:00"
1000187674,MX,DF,MC,"Office: Mixed-Use",Gold,67,60587.99,2272050,681615,"2024-05-22 00:00:00"
1000187688,CN,SHA,SHA,"Warehouse: General",Gold,65,34522,4315250,2416540,"2024-02-18 00:00:00"
1000187690,IN,CON,CON,CONF,Gold,78,17074.08,1067130,757662,"2024-07-19 00:00:00"
1000187692,IN,CON,CON,CONF,Platinum,83,13584,1188600,843906,"2024-07-19 00:00:00"
1000187704,BR,SP,JAN,"Warehouse: Nonrefrigerated Distribution/Shipping",Gold,69,40006.8,5000850,650110,"2024-10-16 00:00:00"
1000187708,BR,SP,SP,"Healthcare: Inpatient",Gold,65,11104,1943200,252616,"2024-12-09 00:00:00"
1000187726,IN,WB,HOW,"Service: Other Service",Platinum,81,1552.5,135844,96449,"2024-04-22 00:00:00"
1000187771,US,VA,FC,"Office: Mixed-Use",Silver,53,23921.5,538234,236823,"2024-04-30 00:00:00"
1000187845,IN,KAR,BAN,"Office: Administrative/Professional",Gold,67,11785.86,441970,313799,"2024-06-06 00:00:00"
1000188028,US,NV,LV,"Lodging: Hotel/Motel/Resort, Full Service",Gold,60,3993.25,324452,142759,"2025-01-17 00:00:00"
1000188030,IN,WB,KOL,"Office: Administrative/Professional",Platinum,83,3335.22,175099,124320,"2024-03-12 00:00:00"
1000188050,HK,HK,HK,"Retail: Open Shopping Center",Platinum,82,109113,7637910,4429988,"2024-05-26 00:00:00"
1000188053,HK,NT,HK,"Warehouse: Nonrefrigerated Distribution/Shipping",Gold,61,62000,7750000,4495000,"2024-05-02 00:00:00"
1000188059,CN,BEI,BEI,"Office: Administrative/Professional",Silver,54,2887,64958,36376,"2024-10-07 00:00:00"
1000188099,CN,JIA,SUZ,"Office: Administrative/Professional",Platinum,84,75933,3986482,2232430,"2024-09-26 00:00:00"
1000188123,KR,SOU,SEO,"Office: Mixed-Use",Platinum,83,110555.96,5804188,2379717,"2024-12-06 00:00:00"
1000188130,CN,BEI,BEI,"Office: Administrative/Professional",Platinum,85,89854,4717335,2641708,"2024-03-22 00:00:00"
1000188161,CN,SHA,SHA,"Office: Mixed-Use",Platinum,82,71700,3764250,2107980,"2024-07-07 00:00:00"
1000188196,BR,RJ,QUE,"Retail: Restaurant/Cafeteria",Silver,57,1157.26,34718,4513,"2024-12-20 00:00:00"
1000188267,BR,SP,CAJ,"Office: Mixed-Use",Gold,62,274,10275,1336,"2024-12-20 00:00:00"
1000188271,BR,SP,ARU,"Retail: Restaurant/Cafeteria",Silver,59,211.73,6352,826,"2025-04-01 00:00:00"
1000188308,KR,CON,CON,CONF,Gold,67,114264,7141500,2928015,"2024-07-12 00:00:00"
1000188381,KR,KYO,SEO,"Office: Mixed-Use",Gold,65,26500.86,993782,407451,"2024-11-26 00:00:00"
1000188385,KR,KYO,SEO,"Office: Mixed-Use",Gold,64,12142,455325,186683,"2024-11-26 00:00:00"
