Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,water_use_intensity,Water_Saving_%,Water_Baseline_L,Water_Saving_L,Water_Saving_m3
1000095778,Newburyport Crossing - One Boston Way,US,Silver,2024-02-14,8069.74,580.0,20,4680449.0,936090.0,936.09
1000096139,Delta Electronics India Pvt. Ltd.,IN,Gold,2024-09-04,40716.04,580.0,30,23615303.0,7084591.0,7084.591
1000098959,Istanbul Museum of Modern Art,TR,Gold,2024-07-24,15479.78,580.0,30,8978272.0,2693482.0,2693.482
1000099321,Oyak Dragos - A Block,TR,Gold,2024-03-13,33500.0,580.0,30,19430000.0,5829000.0,5829.0
1000099323,Oyak Dragos - B Block,TR,Gold,2024-06-24,26670.0,580.0,30,15468600.0,4640580.0,4640.58
1000099449,Sylvia H. Rambo United States Courthouse,US,Gold,2024-01-22,22561.12,580.0,30,13085450.0,3925635.0,3925.635
1000099502,AnantaraMinaAlArabRAKResort-MainB&RiyadB,AE,Gold,2024-07-04,25495.95,2200.0,30,56091090.0,16827327.0,16827.327
1000099506,JMU - Dukes Dining,US,Certified,2024-07-10,3451.53,220.0,10,759337.0,75934.0,75.934
1000099539,CONF,CN,Gold,2024-09-29,288713.17,500.0,30,144356585.0,43306976.0,43306.976
1000099638,CONF,US,Silver,2024-08-26,23597.36,500.0,20,11798680.0,2359736.0,2359.736
1000099673,Pittsburgh Yards,US,Certified,2024-12-12,5665.22,580.0,10,3285828.0,328583.0,328.583
1000100234,FS6 & FTC - Building 1 & 2,US,Silver,2024-03-14,2787.09,580.0,20,1616512.0,323302.0,323.302
1000100546,WAG - Inuit Art Centre Addition,CA,Certified,2024-01-09,3367.0,580.0,10,1952860.0,195286.0,195.286
1000100613,University of Calgary MacKimmie Complex,CA,Platinum,2024-05-10,33568.0,580.0,40,19469440.0,7787776.0,7787.776
1000101896,Ko'ula,US,Gold,2024-11-11,66971.91,580.0,30,38843708.0,11653112.0,11653.112
1000103118,U.S. DOT Volpe Exchange Project,US,Platinum,2024-08-20,52583.38,580.0,40,30498360.0,12199344.0,12199.344
1000103264,SEA International Arrivals Facility,US,Silver,2024-07-12,31587.02,500.0,20,15793510.0,3158702.0,3158.702
1000103365,CONF,IT,Gold,2024-11-05,9049.0,500.0,30,4524500.0,1357350.0,1357.35
1000103869,UCLA Southwest Campus Apartments,US,Gold,2024-05-10,54345.0,2200.0,30,119559000.0,35867700.0,35867.7
1000103925,Ovation Apartments,US,Silver,2024-02-14,50364.11,580.0,20,29211184.0,5842237.0,5842.237
1000104109,UCDH Eye Center Addition,US,Gold,2024-01-26,6002.0,2800.0,30,16805600.0,5041680.0,5041.68
1000104125,Bramalea GO Station,CA,Gold,2024-04-08,1500.0,2800.0,30,4200000.0,1260000.0,1260.0
1000104142,UVA - Bond House,US,Silver,2024-12-31,18580.6,2200.0,20,40877320.0,8175464.0,8175.464
1000104206,CSU Chico Science Building,US,Silver,2024-08-20,10219.33,500.0,20,5109665.0,1021933.0,1021.933
1000105074,Makers Rise,US,Certified,2024-01-09,37070.25,580.0,10,21500745.0,2150074.0,2150.074
1000105198,Yards - Parcel I,US,Silver,2024-10-30,37163.52,580.0,20,21554842.0,4310968.0,4310.968
1000105226,ARMY PN86877 AFH090 Family Towers,KR,Gold,2024-09-12,56298.0,580.0,30,32652840.0,9795852.0,9795.852
1000105276,Diablo Valley College Arts Complex,US,Gold,2024-07-02,3128.32,500.0,30,1564160.0,469248.0,469.248
1000105304,CONF,IT,Gold,2024-02-05,5567.0,500.0,30,2783500.0,835050.0,835.05
1000105372,Manitou a bi Bii daziigae,CA,Gold,2024-10-16,11052.0,500.0,30,5526000.0,1657800.0,1657.8
1000105401,Nicholson Tower,CA,Silver,2024-06-19,4027.0,580.0,20,2335660.0,467132.0,467.132
1000105461,MTL-Centre aquatique Rosemont,CA,Gold,2024-06-06,6765.0,580.0,30,3923700.0,1177110.0,1177.11
1000105781,Istanbul Universitesi AUZEF Binasi,TR,Silver,2024-06-03,6848.0,580.0,20,3971840.0,794368.0,794.368
1000105885,Cambridge Crossing - Park 151,US,Gold,2024-07-16,40338.48,580.0,30,23396318.0,7018896.0,7018.896
1000106028,Laserfiche,US,Silver,2024-05-14,9290.3,580.0,20,5388374.0,1077675.0,1077.675
1000106369,UPMC Vision And Rehabilitation Hospital,US,Certified,2024-05-21,39282.18,2800.0,10,109990104.0,10999010.0,10999.01
1000106432,Borgen Precourt Center for Sustainabilit,US,Certified,2024-02-20,721.11,580.0,10,418244.0,41824.0,41.824
1000106487,Poste de la SQ Beauce-Sartigan,CA,Certified,2024-01-15,1916.0,580.0,10,1111280.0,111128.0,111.128
1000106506,Lynnwood City Center,US,Gold,2024-06-25,1641.6,2800.0,30,4596480.0,1378944.0,1378.944
1000106759,280 Park Avenue,US,Gold,2024-09-10,117541.25,580.0,30,68173925.0,20452178.0,20452.178
1000106799,PE & K Renovation,US,Silver,2024-03-14,5921.17,500.0,20,2960585.0,592117.0,592.117
1000106828,Saint Vincent College Library,US,Certified,2024-06-14,4954.05,500.0,10,2477025.0,247702.0,247.702
1000106835,Yale Peabody Museum of Natural History,US,Gold,2024-07-29,13099.32,580.0,30,7597606.0,2279282.0,2279.282
1000106921,DEN Airport Concourse A West Expansion,US,Platinum,2024-09-26,45250.73,2800.0,40,126702044.0,50680818.0,50680.818
1000107162,William and Linda Frost Center,US,Gold,2024-09-30,9816.13,500.0,30,4908065.0,1472420.0,1472.42
1000107173,CONF,ES,Certified,2024-01-17,798.0,500.0,10,399000.0,39900.0,39.9
1000107660,Rane Culinary Science Center,US,Silver,2024-03-05,13201.14,500.0,20,6600570.0,1320114.0,1320.114
1000107702,Central Bank Center,US,Silver,2024-05-07,35352.1,580.0,20,20504218.0,4100844.0,4100.844
1000107703,Pavilion at the Central Bank Center,US,Certified,2024-05-07,5611.06,580.0,10,3254415.0,325441.0,325.441
1000108028,Southeast Community Center,US,Gold,2024-02-06,4645.15,580.0,30,2694187.0,808256.0,808.256
1000108048,Dartmouth Anonymous Hall,US,Gold,2024-08-23,3158.7,500.0,30,1579350.0,473805.0,473.805
1000108083,Agincourt GO Station,CA,Gold,2024-04-18,847.0,2800.0,30,2371600.0,711480.0,711.48
1000108087,UC Calhoun Hall,US,Silver,2024-03-01,15410.29,2200.0,20,33902638.0,6780528.0,6780.528
1000108108,LAX APM Maintenance & Storage Facility,US,Platinum,2024-11-26,8677.14,2800.0,40,24295992.0,9718397.0,9718.397
1000108110,210 Route 4 East,US,Silver,2024-01-26,11891.58,580.0,20,6897116.0,1379423.0,1379.423
1000108133,CONF,US,Certified,2024-02-01,4542.96,500.0,10,2271480.0,227148.0,227.148
1000108153,Cheko'nien House,CA,Gold,2024-06-17,175946.7094,2200.0,30,387082761.0,116124828.0,116124.828
1000108294,Kenyon College Oden Hall,US,Silver,2024-01-05,4104.73,500.0,20,2052365.0,410473.0,410.473
1000108878,Autumn Grove Lodge,CA,Silver,2024-01-24,7802.0,2200.0,20,17164400.0,3432880.0,3432.88
1000109218,CONF,US,Gold,2024-10-17,6941.15,500.0,30,3470575.0,1041172.0,1041.172
1000109723,DMA Cyber,US,Silver,2024-04-05,3824.07,580.0,20,2217961.0,443592.0,443.592
1000110129,AEP Newark Service Center,US,Certified,2024-05-02,5344.52,580.0,10,3099822.0,309982.0,309.982
1000110131,EGCC-Acute Mental Health Unit,US,Silver,2024-09-10,836.13,500.0,20,418065.0,83613.0,83.613
1000110216,GRCC/ATC Addition No. 1,US,Silver,2024-09-20,2077.31,500.0,20,1038655.0,207731.0,207.731
1000110262,VCU STEM Building,US,Gold,2024-05-23,15551.87,500.0,30,7775935.0,2332780.0,2332.78
1000110302,CONF,US,Silver,2024-08-30,5084.58,500.0,20,2542290.0,508458.0,508.458
1000110444,Ball State University North Res. Hall 2,US,Silver,2024-09-11,14373.12,2200.0,20,31620864.0,6324173.0,6324.173
1000110904,SJSU Interdisciplinary Science Building,US,Gold,2024-05-22,14433.5,2800.0,30,40413800.0,12124140.0,12124.14
1000111286,UCLA Botany Building Renovation,US,Platinum,2024-10-23,3469.93,500.0,40,1734965.0,693986.0,693.986
1000111466,CONF,IN,Gold,2024-03-19,8129.01,500.0,30,4064505.0,1219352.0,1219.352
1000111605,Renovation of Historic City Hall,US,Silver,2024-01-26,4131.58,580.0,20,2396316.0,479263.0,479.263
1000111662,Iowa City Public Works Phase 1,US,Gold,2024-01-23,7924.07,580.0,30,4595961.0,1378788.0,1378.788
1000111672,CONF,KR,Silver,2024-06-10,20914.0,500.0,20,10457000.0,2091400.0,2091.4
1000112085,Shelo Nabel CN Queretaro,MX,Silver,2024-06-05,1025.46,580.0,20,594767.0,118953.0,118.953
1000112243,ING Bank Turkey Headquarters,TR,Gold,2024-03-22,23608.14,580.0,30,13692721.0,4107816.0,4107.816
1000112295,York University SCS,CA,Gold,2024-02-12,10315.0,500.0,30,5157500.0,1547250.0,1547.25
1000112312,Denver Water NTP Operations Building,US,Gold,2024-04-24,576.0,580.0,30,334080.0,100224.0,100.224
1000112631,JM Family - Offices A & B,US,Gold,2024-07-09,16362.26,580.0,30,9490111.0,2847033.0,2847.033
1000112679,COTA Fields Avenue CNG Station,US,Certified,2024-07-01,26495.38,2800.0,10,74187064.0,7418706.0,7418.706
1000112817,Jack Beyerl Residence Hall,US,Silver,2024-02-19,12790.89,2200.0,20,28139958.0,5627992.0,5627.992
1000112883,Terre dei Consoli - Club House Building,IT,Certified,2024-02-15,14176.0563,500.0,10,7088028.0,708803.0,708.803
1000113225,CONF,US,Platinum,2024-07-17,33239.67,500.0,40,16619835.0,6647934.0,6647.934
1000113372,VMI CPTF AQUATIC CENTER,US,Certified,2024-02-08,5388.37,500.0,10,2694185.0,269418.0,269.418
1000113485,PorterFamily Indoor Performance Facility,US,Silver,2024-06-27,8439.31,500.0,20,4219655.0,843931.0,843.931
1000114419,CONF,BR,Gold,2024-07-26,28071.0,500.0,30,14035500.0,4210650.0,4210.65
1000114453,CONF,US,Platinum,2024-09-17,83256.84,500.0,40,41628420.0,16651368.0,16651.368
1000114457,"Whatcom Vlg - 3 4 5 6, N O P Q",US,Platinum,2024-09-17,80173.99,580.0,40,46500914.0,18600366.0,18600.366
1000114924,CONF,US,Silver,2024-11-14,13425.51,500.0,20,6712755.0,1342551.0,1342.551
1000114974,W&M Sadler West Addition,US,Silver,2024-08-02,5097.49,580.0,20,2956544.0,591309.0,591.309
1000114987,W&M Campus Living Center,US,Silver,2024-05-05,975.67,2800.0,20,2731876.0,546375.0,546.375
1000115030,Oakville Trafalgar Community Centre,CA,Gold,2024-11-14,4497.0,580.0,30,2608260.0,782478.0,782.478
1000115045,Grafton MA Library Expansion/Renovation,US,Silver,2024-03-13,2322.57,500.0,20,1161285.0,232257.0,232.257
1000115047,CONF,US,Silver,2024-02-01,38417.99,500.0,20,19208995.0,3841799.0,3841.799
1000115053,UVM Firestone Medical Research Building,US,Silver,2024-05-09,5616.45,2800.0,20,15726060.0,3145212.0,3145.212
1000115157,DVC Health Sciences & Athletics Complex,US,Gold,2024-12-03,2987.3,500.0,30,1493650.0,448095.0,448.095
1000115201,University of Calgary Mathison Hall,CA,Platinum,2024-11-25,107639.0,500.0,40,53819500.0,21527800.0,21527.8
1000115231,Centro Internacional del Espanol,ES,Gold,2024-01-18,5371.0,580.0,30,3115180.0,934554.0,934.554
1000115244,Wesleyan Public Affairs Center,US,Gold,2024-07-01,6936.7,500.0,30,3468350.0,1040505.0,1040.505
1000115261,Hilton Columbus Downtown Expansion,US,Gold,2024-09-06,42873.9,2200.0,30,94322580.0,28296774.0,28296.774
1000116060,22 Banner Lane,US,Silver,2024-06-25,22276.28,580.0,20,12920242.0,2584048.0,2584.048
1000116061,44 Banner Lane,US,Silver,2024-06-25,36463.03,580.0,20,21148557.0,4229711.0,4229.711
1000116182,Shenling Base III R&D Building,CN,Platinum,2024-04-10,19992.73,580.0,40,11595783.0,4638313.0,4638.313
1000116565,Block 216,US,Gold,2024-03-13,76090.44,2200.0,30,167398968.0,50219690.0,50219.69
1000116670,AL-MUNTADA Knowledge Space Saint-Gobain,AE,Gold,2024-08-02,400.0,580.0,30,232000.0,69600.0,69.6
1000116708,MSU Public Safety Building,US,Silver,2024-06-17,1856.48,500.0,20,928240.0,185648.0,185.648
1000116948,City of Raleigh Fire Station 22,US,Gold,2024-10-01,1462.85,580.0,30,848453.0,254536.0,254.536
1000117003,DSWA Administration Building,US,Silver,2024-01-18,2120.98,580.0,20,1230168.0,246034.0,246.034
1000117364,GCO Mendez Alvaro 31,ES,Platinum,2025-03-11,22707.0,580.0,40,13170060.0,5268024.0,5268.024
1000117389,Sesquicentennial Hall,US,Gold,2024-03-05,9200.09,500.0,30,4600045.0,1380014.0,1380.014
1000117468,"Clearwater Credit Union, Brooks Branch",US,Silver,2024-07-25,626.91,220.0,20,137920.0,27584.0,27.584
1000117493,Penn State Berks Beaver Community Center,US,Certified,2024-07-17,6874.82,500.0,10,3437410.0,343741.0,343.741
1000117571,Kaiser Permanente Springfield MOB,US,Gold,2024-05-07,9215.05,2800.0,30,25802140.0,7740642.0,7740.642
1000117911,Toyota MS Experience Center,US,Platinum,2024-04-16,1378.68,580.0,40,799634.0,319854.0,319.854
1000117981,Raclin Murphy Museum of Art,US,Gold,2024-11-18,6812.58,580.0,30,3951296.0,1185389.0,1185.389
1000117983,UC Davis Shasta Hall,US,Gold,2024-11-14,19416.17,2200.0,30,42715574.0,12814672.0,12814.672
1000118039,The Standard at Seattle,US,Gold,2024-06-04,51341.82,580.0,30,29778256.0,8933477.0,8933.477
1000118205,HLS Lewis Hall,US,Gold,2024-11-08,4050.48,500.0,30,2025240.0,607572.0,607.572
1000118400,BTC Phase III construction,CN,Gold,2024-02-20,53652.6,2800.0,30,150227280.0,45068184.0,45068.184
1000118401,Administration Building of BTC,CN,Platinum,2024-05-15,6995.6,580.0,40,4057448.0,1622979.0,1622.979
1000118791,CONF,US,Silver,2024-11-04,14610.95,500.0,20,7305475.0,1461095.0,1461.095
1000119140,Comisaria Policia Olesa de Montserrat,ES,Certified,2024-03-25,597.0,580.0,10,346260.0,34626.0,34.626
