Metric_Id,Project_Id,EnergySaving,CO2Avoided,WaterSaving,WasteAvoided
399,1000134217,367292.0,161608.0,881.5,14691675.0
400,1000134223,207046.0,91100.0,460.102,4601020.0
401,1000134257,741366.0,326201.0,2965.463,31772820.0
402,1000134580,351348.0,154593.0,1630.253,28107810.0
403,1000135296,119165.0,52432.0,635.544,4539600.0
404,1000135406,76056.0,33465.0,352.902,6084510.0
405,1000135819,336821.0,148201.0,1736.5,35927592.0
406,1000135850,101443.0,44635.0,405.773,4347570.0
407,1000136120,274045.0,120580.0,608.988,6089880.0
408,1000136570,29373.0,12924.0,151.435,3133128.0
409,1000136602,585289.0,257527.0,3121.541,22296720.0
410,1000136633,661934.0,291251.0,3071.373,52954710.0
411,1000136717,33445.0,14716.0,74.322,743220.0
412,1000136737,373991.0,164556.0,831.092,8310920.0
413,1000136780,332398.0,146255.0,1285.272,39887766.0
414,1000136936,482167.0,212153.0,964.334,8036112.5
415,1000137014,341191.0,150124.0,1364.765,14622480.0
416,1000137042,65352.0,28755.0,108.92,1633792.5
417,1000137080,422180.0,185759.0,3429.4,18186210.0
418,1000137090,1145088.0,503839.0,9301.637,49326865.0
419,1000137173,87327.0,38424.0,709.361,3761765.0
420,1000137231,37742.0,16606.0,90.58,1509675.0
421,1000137271,62709.0,27592.0,150.502,2508375.0
422,1000137293,707224.0,311178.0,1414.448,11787062.5
423,1000137597,1441375.0,360344.0,11708.4,62090000.0
424,1000137664,906592.0,398900.0,1813.184,15109862.5
425,1000137691,143187.0,63002.0,664.386,11454930.0
426,1000137827,39563.0,17408.0,183.572,3165030.0
427,1000137891,180250.0,45062.0,432.6,7210000.0
428,1000137948,1532774.0,674421.0,8174.796,58391400.0
429,1000137966,34377.0,15126.0,177.234,3666912.0
430,1000137971,1132806.0,498435.0,2265.612,18880100.0
431,1000138066,411000.0,94530.0,822.0,6850000.0
432,1000138238,5753648.0,2531605.0,25425.646,394535880.0
433,1000138271,953225.0,238306.0,2178.8,32682000.0
434,1000138362,37946.0,16696.0,63.244,948652.5
435,1000138377,862270.0,379399.0,4000.932,68981580.0
