ProjectName,CertLevel,GrossFloorAreaSqm,EnergySaving,EnergySaving_Percent,Cert_Level_Num
CONF,Platinum,1975.0,172812.0,0.4374987341772152,4
FSU Center for Virtual Learning,Certified,5556.53,166696.0,0.15000008998421677,1
WWU Interdisciplinary Science Building,Gold,5258.31,394373.0,0.37499976228103704,3
CLV Health + Wellness,Silver,792.65,83228.0,0.5249984230114174,2
Mission Rock Parcel A,Gold,28812.56,1080471.0,0.1875,3
Chongqing Cummins New Office Building,Silver,14449.0,325102.0,0.11249982697764552,2
CMU Scaife Hall,Gold,7961.79,597134.0,0.37499984300012934,3
Cleveland Museum Natural History Phase2,Platinum,4645.15,243870.0,0.2624995963531856,4
CONF,Silver,5762.4,216090.0,0.1875,2
U-M Dean Road Transportation Facility,Silver,6465.68,678896.0,0.5249996906744534,2
CONF,Gold,35362.0,2210125.0,0.3125,3
Jeffrey T Fort Neuro Research Building,Gold,56485.02,9884878.0,0.8749999557404777,3
"Centennial College, A-Building",Gold,12248.0,918600.0,0.375,3
St. Albert Fire Hall-1,Silver,2911.0,65498.0,0.11250085881140502,2
901 Cherry Phase II - Buildings 2 and 3,Platinum,27229.96,1429573.0,0.2625000183621276,4
Hotel Verdant,Gold,6908.73,561334.0,0.40624977383687016,3
Airbus-Delivery Center Expansion,Gold,2755.13,103317.0,0.18749931945135076,3
Wolfspeed MVF-FAB ADMIN,Silver,53327.53,5599391.0,0.5250000328160708,2
Wolfspeed MVF-CUB,Silver,9811.39,367927.0,0.18749993629852651,2
Greater Pittsburgh Food Bank Expansion,Gold,11352.75,1419094.0,0.6250001101054811,3
Garvey Hall,Silver,3235.16,72791.0,0.11249984544813858,2
Four Points by Sheraton Navi Mumbai,Platinum,14726.88,1675183.0,0.5687501358060907,4
Nuovo Centro Direzionale CDO3 - Veritas,Gold,4390.0,164625.0,0.1875,3
CONF,Gold,67670.0,4229375.0,0.3125,3
Bridgestone Warren Plant Recertification,Silver,183454.81,19262755.0,0.5249999986372665,2
CONF,Gold,1532.9,95806.0,0.31249918455215603,3
Aransas National Wildlife Refuge,Certified,1433.31,21500.0,0.07500122095010849,1
CONF,Gold,11366.68,710418.0,0.31250021994109095,3
University of Cincinnati Clifton Court,Silver,16722.54,752514.0,0.2249999103007079,2
MU Clinical Health Sciences,Silver,17058.01,767610.0,0.2249998680971579,2
1701 H Street NE,Silver,14648.95,329601.0,0.11249987200447814,2
Mann Older Adult Rivera Rec. Center,Gold,3658.06,137177.0,0.18749965828881976,3
Lucas Hall,Certified,2508.38,75251.0,0.1499992026726413,1
Blacksburg Police Headquarters,Silver,3258.48,73316.0,0.1125003068915568,2
SLCC Juniper Building - Herriman Campus,Gold,8454.17,528386.0,0.3125002217840427,3
CONF,Gold,22500.0,1406250.0,0.3125,3
Morningstar at West Valley Memory Care,Silver,2998.35,314827.0,0.5250004168959594,2
CONF,Gold,6131.6,383225.0,0.3125,3
District Cooling Plant BB05,Gold,11063.45,691466.0,0.31250016947697146,3
CONF,Silver,464.52,17420.0,0.18750538189959529,2
Colby College Gordon Center,Gold,6547.9,491092.0,0.37499961819820093,3
NYU Ambulatory Hub 1111 Franklin Avenue,Silver,22911.83,2405742.0,0.5249999672658185,2
CONF,Certified,1659.8,41495.0,0.125,1
Capers Hall - Building Replacement,Silver,9058.04,407612.0,0.22500011039915918,2
CONF,Silver,1109.54,41608.0,0.1875011265930025,2
Mult. Behavioral Health Resource Center,Gold,2647.92,165495.0,0.3125,3
UW - Founders Hall,Gold,7841.01,588076.0,0.3750001594182382,3
Green Hill School Recreation Building,Gold,2638.45,98942.0,0.18750023688150239,3
Five Rivers Health Centers - M.O.B.,Certified,7803.85,546270.0,0.35000032035469675,1
LPC Public Safety Complex/AMT,Silver,7005.26,315237.0,0.22500021412481477,2
PennDOT D6-0 RTMC,Silver,3556.14,80013.0,0.11249978909716715,2
Soccer and Lacrosse Facility Expansion,Gold,1254.19,47032.0,0.1874995016704008,3
Airbus-Dual Bay Flightline Hangar 24,Silver,8533.98,896068.0,0.52500005858931,2
Oracle 6VDG,Gold,11612.88,435483.0,0.1875,3
AIRBUS Staging Bldg + Calibration Hangar,Gold,3010.99,526923.0,0.874999584854151,3
CSU MC Harbison Research & Ed Bldg,Silver,759.2,34164.0,0.225,2
College Park City Hall,Gold,8656.24,324609.0,0.1875,3
Chick fil A 03863 Annandale,Certified,399.48,12983.0,0.16249874837288475,1
MSU Thurgood Marshall Hall - Phase 1,Gold,20676.21,1679942.0,0.4062499848860115,3
JOHN S. & JAMES L. Knight Recital Hall,Silver,1966.29,44242.0,0.11250120785845424,2
May Lee State Office Complex prev. RBOC,Gold,128473.24,4817746.0,0.1874999805406947,3
CONF,Silver,3483.86,130645.0,0.18750035879742585,2
Virginia Tech Upper Quad Hall North,Silver,5262.95,256569.0,0.24375017813203623,2
Eastlake at Tillery - Bldg 2,Silver,9210.12,207228.0,0.11250016286432749,2
"Otay Mesa US LPOE, Commercial Annex Bldg",Gold,3065.8,114968.0,0.18750081544784394,3
"Otay Mesa US LPOE, USDA Plant Inspection",Gold,1142.71,199974.0,0.8749989061091615,3
UC Davis at Orchard Park - Amenity,Silver,1458.48,54693.0,0.1875,2
Lukachukai Fire Station Bus Bay,Silver,786.33,17692.0,0.11249729757226609,2
East College Street Development,Gold,11055.46,414580.0,0.1875001130663039,3
Starbucks China Office Building,Platinum,3318.0,174195.0,0.2625,4
Starbucks China Production Workshop,Platinum,10774.0,2639630.0,1.225,4
Gwinnett County Police Training Exp.,Certified,2432.39,36486.0,0.07500030833871213,1
CONF,Certified,3264.15,81604.0,0.12500038294808755,1
Modera Clarendon,Silver,24990.91,562295.0,0.11249990496544543,2
CONF,Silver,1486.45,55742.0,0.18750042046486595,2
Charles M. Murray Maintenance Facility,Silver,1322.2,49582.0,0.18749810921191953,2
