Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,Energy_Saving_kWh,CO2_Avoided_kg
1000116182,Shenling Base III R&D Building,CN,Platinum,2024-04-10,19992.73,1049618.0,587786.0
1000116565,Block 216,US,Gold,2024-03-13,76090.44,6182348.0,2720233.0
1000116670,AL-MUNTADA Knowledge Space Saint-Gobain,AE,Gold,2024-08-02,400.0,15000.0,6000.0
1000116708,MSU Public Safety Building,US,Silver,2024-06-17,1856.48,69618.0,30632.0
1000116948,City of Raleigh Fire Station 22,US,Gold,2024-10-01,1462.85,54857.0,24137.0
1000117003,DSWA Administration Building,US,Silver,2024-01-18,2120.98,47722.0,20998.0
1000117364,GCO Mendez Alvaro 31,ES,Platinum,2025-03-11,22707.0,1192118.0,274187.0
1000117389,Sesquicentennial Hall,US,Gold,2024-03-05,9200.09,690007.0,303603.0
1000117468,"Clearwater Credit Union, Brooks Branch",US,Silver,2024-07-25,626.91,18807.0,8275.0
1000117493,Penn State Berks Beaver Community Center,US,Certified,2024-07-17,6874.82,206245.0,90748.0
1000117571,Kaiser Permanente Springfield MOB,US,Gold,2024-05-07,9215.05,1612634.0,709559.0
1000117911,Toyota MS Experience Center,US,Platinum,2024-04-16,1378.68,72381.0,31848.0
1000117981,Raclin Murphy Museum of Art,US,Gold,2024-11-18,6812.58,255472.0,112408.0
1000117983,UC Davis Shasta Hall,US,Gold,2024-11-14,19416.17,1577564.0,694128.0
1000118039,The Standard at Seattle,US,Gold,2024-06-04,51341.82,1925318.0,847140.0
1000118205,HLS Lewis Hall,US,Gold,2024-11-08,4050.48,303786.0,133666.0
1000118400,BTC Phase III construction,CN,Gold,2024-02-20,53652.6,9389205.0,5257955.0
1000118401,Administration Building of BTC,CN,Platinum,2024-05-15,6995.6,367269.0,205671.0
1000118791,CONF,US,Silver,2024-11-04,14610.95,547911.0,241081.0
1000119140,Comisaria Policia Olesa de Montserrat,ES,Certified,2024-03-25,597.0,8955.0,2060.0
1000119329,AUS IT Building,US,Silver,2024-03-25,3741.85,392894.0,172873.0
1000119511,Jane E. Heminger Hall,US,Silver,2024-04-05,3530.31,158864.0,69900.0
1000119611,Ereks Blue Matters Resp. Prod. Platform,TR,Certified,2024-10-06,9754.82,682837.0,293620.0
1000119612,Emory University HSRB II,US,Gold,2024-08-06,32144.44,5625277.0,2475122.0
1000119708,MTL-Maison Robert-Belanger,CA,Silver,2024-08-23,335.0,7538.0,2337.0
1000119744,CONF,US,Gold,2024-10-11,7897.41,493588.0,217179.0
1000119745,Indianapolis-Marion County Sheriff/ADC,US,Certified,2024-10-08,74483.87,2420726.0,1065119.0
1000119759,CONF,US,Certified,2024-11-07,2694.19,67355.0,29636.0
1000119770,Rice Sid Richardson Residential College,US,Gold,2024-01-12,11705.78,951095.0,418482.0
1000119772,NKU Residence Hall,US,Certified,2024-04-17,6523.65,97855.0,43056.0
1000119839,Rutherford GO Station,CA,Gold,2024-06-12,2663.0,466025.0,144468.0
1000119861,UMW Virginia Hall Renovation,US,Silver,2024-04-22,4244.46,206917.0,91044.0
1000120063,East Columbia 50+ Center,US,Gold,2024-10-28,2879.99,108000.0,47520.0
1000120075,Stockyards Event Center at the NWC,US,Gold,2024-08-09,4452.84,779247.0,342869.0
1000120085,Maintenance & Storage Facility Main Bldg,CA,Certified,2024-06-20,5052.0,353640.0,109628.0
1000120132,CBC Student Recreation Center,US,Silver,2024-06-25,7263.99,163440.0,71914.0
1000120314,CSULA Student Housing East Project,US,Silver,2024-01-22,34194.44,1666979.0,733471.0
1000120423,CRIF 21,IT,Platinum,2024-05-06,12100.0,635250.0,158812.0
1000120797,Irving Institute for Energy & Society,US,Platinum,2024-07-16,4244.55,222839.0,98049.0
