Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
208,1000117981,LEED v4 BD+C: NC,64,Gold,2024-11-18
209,1000117983,LEED v4 BD+C: NC,62,Gold,2024-11-14
210,1000118039,LEED v4 BD+C: NC,61,Gold,2024-06-04
211,1000118205,LEED v4 BD+C: NC,62,Gold,2024-11-08
212,1000118400,LEED v4 BD+C: NC,67,Gold,2024-02-20
213,1000118401,LEED v4 BD+C: NC,85,Platinum,2024-05-15
214,1000118791,LEED v4 BD+C: NC,51,Silver,2024-11-04
215,1000119140,LEED v4 BD+C: NC,49,Certified,2024-03-25
216,1000119329,LEED v4 BD+C: NC,58,Silver,2024-03-25
217,1000119511,LEED v4 BD+C: NC,50,Silver,2024-04-05
218,1000119611,LEED v4 BD+C: NC,45,Certified,2024-10-06
219,1000119612,LEED v4 BD+C: NC,61,Gold,2024-08-06
220,1000119708,LEED v4 BD+C: NC,51,Silver,2024-08-23
221,1000119744,LEED v4 BD+C: NC,60,Gold,2024-10-11
222,1000119745,LEED v4 BD+C: NC,40,Certified,2024-10-08
223,1000119759,LEED v4 BD+C: NC,43,Certified,2024-11-07
224,1000119770,LEED v4 BD+C: NC,60,Gold,2024-01-12
225,1000119772,LEED v4 BD+C: NC,41,Certified,2024-04-17
226,1000119839,LEED v4 BD+C: NC,64,Gold,2024-06-12
227,1000119861,LEED v4 BD+C: NC,52,Silver,2024-04-22
228,1000120063,LEED v4 BD+C: NC,65,Gold,2024-10-28
229,1000120075,LEED v4 BD+C: NC,62,Gold,2024-08-09
230,1000120085,LEED v4 BD+C: NC,43,Certified,2024-06-20
231,1000120132,LEED v4 BD+C: NC,51,Silver,2024-06-25
232,1000120314,LEED v4 BD+C: NC,53,Silver,2024-01-22
233,1000120423,LEED v4 BD+C: NC,80,Platinum,2024-05-06
234,1000120797,LEED v4 BD+C: NC,85,Platinum,2024-07-16
235,1000120828,LEED v4 BD+C: NC,47,Certified,2024-01-08
236,1000120869,LEED v4 BD+C: NC,52,Silver,2024-02-29
237,1000120913,LEED v4 BD+C: NC,53,Silver,2024-12-16
238,1000120994,LEED v4 BD+C: NC,63,Gold,2024-06-11
239,1000121357,LEED v4 BD+C: NC,76,Gold,2024-11-20
240,1000121363,LEED v4 BD+C: NC,50,Silver,2024-10-18
241,1000121586,LEED v4 BD+C: NC,60,Gold,2024-10-16
242,1000121590,LEED v4 BD+C: NC,68,Gold,2024-09-26
243,1000121687,LEED v4 BD+C: NC,53,Silver,2024-02-08
244,1000121700,LEED v4 BD+C: NC,50,Silver,2024-02-22
